ph,ec,oc,n,p,k,s,z,b,fe,mn,cu,name
5.49,0.14,3.39,8,98,13,11.12,0.68,0.53,2.16,1.59,0.17,Tea
5.18,0.18,2.9,11,97,15,13.0,0.74,0.6,2.45,1.49,0.18,Tea
4.73,0.12,2.42,13,96,16,14.91,0.65,0.54,2.93,1.22,0.17,Tea
5.33,0.1,3.02,13,91,16,12.11,0.69,0.52,3.32,1.06,0.14,Tea
5.07,0.17,3.16,13,104,17,13.12,0.61,0.56,3.47,1.53,0.19,Tea
5.36,0.11,3.37,13,98,15,10.39,0.65,0.63,3.41,1.35,0.11,Tea
4.91,0.16,3.54,10,96,16,13.08,0.65,0.54,3.1,1.59,0.17,Tea
4.54,0.17,2.29,8,92,15,13.1,0.64,0.63,2.89,1.31,0.11,Tea
4.67,0.16,3.72,8,100,15,11.64,0.7,0.68,2.75,1.67,0.13,Tea
4.72,0.15,2.8,11,100,16,13.74,0.66,0.53,2.51,1.74,0.15,Tea
4.7,0.11,3.65,11,97,13,11.15,0.71,0.53,3.43,1.5,0.16,Tea
5.46,0.11,3.59,9,100,15,12.76,0.71,0.53,3.27,1.61,0.12,Tea
5.17,0.11,3.29,9,97,16,12.62,0.68,0.7,2.92,1.34,0.17,Tea
4.64,0.19,2.36,10,87,13,14.11,0.68,0.68,2.63,1.12,0.13,Tea
5.0,0.14,3.37,12,103,17,14.73,0.75,0.68,3.32,1.31,0.14,Tea
4.98,0.11,3.05,10,101,13,12.84,0.79,0.52,3.43,1.77,0.18,Tea
4.9,0.17,3.75,12,98,14,13.03,0.73,0.64,2.36,1.19,0.17,Tea
4.65,0.1,2.44,9,98,13,12.2,0.7,0.65,3.32,1.24,0.14,Tea
5.34,0.12,3.56,8,86,17,13.14,0.67,0.63,2.86,1.66,0.1,Tea
5.2,0.14,3.42,11,89,14,14.26,0.71,0.53,2.43,1.76,0.12,Tea
5.14,0.14,3.08,9,101,17,10.99,0.69,0.58,2.35,1.22,0.2,Tea
5.15,0.2,3.64,13,90,15,10.09,0.74,0.63,3.27,1.56,0.17,Tea
5.21,0.2,2.08,8,85,15,10.77,0.61,0.61,2.16,1.18,0.15,Tea
4.81,0.18,2.15,11,100,17,12.0,0.76,0.63,3.02,1.29,0.17,Tea
4.63,0.14,3.88,11,93,15,12.02,0.71,0.59,2.75,1.68,0.14,Tea
5.43,0.15,2.36,10,88,13,10.23,0.75,0.69,3.44,1.43,0.14,Tea
5.2,0.19,3.46,11,95,17,11.91,0.76,0.58,2.49,1.72,0.15,Tea
5.16,0.18,3.37,12,91,14,13.99,0.69,0.51,3.45,1.62,0.14,Tea
5.3,0.18,3.36,11,90,13,10.08,0.73,0.62,3.43,1.29,0.12,Tea
5.12,0.11,3.99,10,93,13,13.54,0.62,0.67,3.47,1.25,0.15,Tea
4.87,0.14,2.61,9,100,15,10.16,0.77,0.51,2.81,1.27,0.14,Tea
5.07,0.17,2.16,11,100,13,13.26,0.65,0.56,3.19,1.58,0.1,Tea
5.27,0.16,3.38,10,99,14,10.45,0.61,0.6,2.11,1.44,0.12,Tea
5.3,0.19,2.66,10,85,16,11.58,0.69,0.56,3.48,1.27,0.18,Tea
5.37,0.17,2.28,9,85,16,15.0,0.68,0.58,3.22,1.11,0.16,Tea
4.57,0.13,3.23,10,94,17,14.57,0.62,0.67,3.27,1.48,0.16,Tea
5.38,0.1,2.66,12,104,14,14.97,0.78,0.51,3.06,1.46,0.15,Tea
4.59,0.15,2.79,12,99,17,14.74,0.72,0.68,2.2,1.45,0.18,Tea
4.52,0.19,2.36,8,90,16,11.12,0.63,0.61,2.5,1.47,0.19,Tea
4.65,0.11,3.81,11,99,15,13.05,0.78,0.58,2.66,1.49,0.1,Tea
4.92,0.13,3.68,10,101,14,12.1,0.65,0.62,3.11,1.23,0.16,Tea
5.15,0.16,3.59,8,85,16,12.74,0.8,0.57,2.75,1.41,0.2,Tea
5.22,0.19,2.16,8,104,15,10.54,0.68,0.6,3.41,1.12,0.18,Tea
5.04,0.17,2.44,11,103,17,11.84,0.61,0.65,2.17,1.45,0.12,Tea
5.23,0.12,3.16,12,85,14,14.48,0.74,0.51,3.49,1.33,0.16,Tea
4.69,0.12,2.07,8,91,13,14.27,0.68,0.58,2.57,1.49,0.18,Tea
4.62,0.15,2.61,9,92,16,14.53,0.75,0.5,2.72,1.4,0.17,Tea
5.21,0.1,2.23,12,90,13,14.79,0.73,0.55,3.03,1.43,0.18,Tea
5.41,0.17,2.71,9,92,13,13.84,0.61,0.58,2.18,1.12,0.12,Tea
4.88,0.16,3.4,8,102,16,12.54,0.8,0.55,2.09,1.17,0.11,Tea
5.09,0.12,2.69,10,99,15,13.79,0.74,0.7,3.04,1.8,0.14,Tea
4.93,0.18,3.22,13,98,14,12.07,0.73,0.6,2.92,1.07,0.16,Tea
5.21,0.18,3.13,12,101,14,13.13,0.73,0.63,3.12,1.21,0.2,Tea
4.59,0.15,3.16,9,94,17,10.93,0.72,0.52,3.29,1.14,0.1,Tea
5.34,0.13,3.17,12,93,15,10.3,0.64,0.59,3.15,1.6,0.17,Tea
5.05,0.14,3.53,13,102,13,14.46,0.69,0.55,2.28,1.56,0.16,Tea
4.86,0.17,2.06,8,100,13,11.84,0.6,0.57,2.61,1.34,0.19,Tea
4.89,0.19,2.77,11,92,14,14.12,0.75,0.56,2.6,1.78,0.16,Tea
4.84,0.18,2.06,13,87,17,10.23,0.69,0.69,2.49,1.14,0.11,Tea
4.73,0.13,3.03,13,104,14,12.39,0.73,0.57,2.52,1.36,0.17,Tea
5.23,0.15,3.62,8,100,14,14.42,0.64,0.63,2.67,1.32,0.14,Tea
4.57,0.19,2.51,8,88,15,12.53,0.77,0.61,2.16,1.42,0.1,Tea
4.91,0.19,3.52,8,88,14,10.37,0.64,0.67,2.98,1.51,0.14,Tea
4.7,0.2,3.41,8,93,14,11.28,0.68,0.67,2.47,1.79,0.12,Tea
4.5,0.11,3.49,13,88,17,12.14,0.78,0.59,3.24,1.51,0.18,Tea
4.71,0.18,3.71,11,102,17,13.03,0.7,0.65,3.46,1.46,0.16,Tea
4.81,0.16,3.47,10,88,17,14.63,0.71,0.54,2.71,1.62,0.12,Tea
5.02,0.15,2.54,9,100,14,12.17,0.66,0.69,3.44,1.34,0.16,Tea
5.09,0.14,3.41,10,93,14,14.31,0.66,0.52,2.63,1.21,0.11,Tea
4.75,0.13,3.65,12,98,16,12.36,0.75,0.68,3.3,1.32,0.13,Tea
5.06,0.17,3.65,11,94,13,14.51,0.69,0.64,3.19,1.5,0.14,Tea
5.33,0.13,2.6,13,92,15,10.91,0.65,0.61,2.87,1.32,0.13,Tea
5.19,0.11,3.74,9,100,15,14.81,0.79,0.55,3.37,1.04,0.15,Tea
5.09,0.11,2.28,11,103,16,14.97,0.71,0.55,3.08,1.49,0.16,Tea
5.31,0.15,3.24,13,93,17,10.28,0.71,0.53,2.9,1.0,0.11,Tea
4.92,0.1,3.78,11,93,14,12.42,0.68,0.62,2.04,1.25,0.18,Tea
5.14,0.13,3.94,9,89,16,12.69,0.77,0.58,2.95,1.01,0.13,Tea
5.4,0.14,2.42,11,86,17,10.73,0.62,0.55,2.41,1.33,0.16,Tea
5.12,0.17,3.13,8,97,14,12.74,0.63,0.53,3.21,1.56,0.18,Tea
4.97,0.1,2.24,10,86,14,11.47,0.61,0.67,2.82,1.42,0.15,Tea
5.1,0.2,3.65,9,87,13,11.56,0.61,0.54,3.09,1.11,0.18,Tea
5.05,0.2,2.18,12,97,17,10.25,0.66,0.53,3.46,1.5,0.18,Tea
4.74,0.16,2.39,8,103,13,14.42,0.61,0.68,3.35,1.16,0.19,Tea
4.92,0.19,2.82,11,104,15,11.32,0.66,0.59,3.33,1.05,0.19,Tea
4.53,0.13,3.67,10,101,14,10.53,0.8,0.64,3.31,1.14,0.17,Tea
4.88,0.2,3.26,12,94,13,12.64,0.77,0.6,3.31,1.04,0.12,Tea
4.64,0.15,3.46,9,95,13,11.89,0.71,0.61,2.26,1.59,0.13,Tea
5.2,0.12,2.63,9,94,14,13.64,0.74,0.65,2.76,1.66,0.18,Tea
5.02,0.16,3.05,12,99,14,12.0,0.66,0.64,2.33,1.4,0.19,Tea
4.6,0.17,3.9,11,88,16,11.32,0.68,0.55,3.4,1.79,0.12,Tea
4.99,0.14,3.49,13,93,17,14.35,0.69,0.52,2.93,1.31,0.17,Tea
4.57,0.17,2.42,12,91,16,12.24,0.77,0.56,2.05,1.71,0.18,Tea
5.11,0.17,3.28,9,95,17,12.64,0.69,0.65,2.56,1.54,0.1,Tea
5.37,0.19,3.36,12,98,15,14.51,0.71,0.56,3.07,1.09,0.11,Tea
5.12,0.18,3.47,12,102,13,12.02,0.7,0.63,2.04,1.62,0.13,Tea
5.27,0.15,3.76,10,92,13,10.71,0.75,0.68,2.04,1.25,0.17,Tea
5.37,0.15,3.2,11,96,16,14.57,0.66,0.61,2.23,1.35,0.14,Tea
4.66,0.15,3.36,8,85,17,12.83,0.77,0.6,2.55,1.35,0.2,Tea
4.88,0.18,3.49,10,102,14,12.74,0.7,0.61,2.12,1.48,0.15,Tea
5.27,0.16,2.88,13,92,16,11.68,0.65,0.63,2.39,1.13,0.11,Tea
4.52,0.16,2.54,9,86,16,14.97,0.76,0.59,2.94,1.05,0.17,Tea
5.02,0.12,3.9,13,98,15,11.55,0.73,0.63,2.7,1.02,0.13,Tea
4.82,0.19,2.65,9,100,13,12.72,0.76,0.56,2.03,1.63,0.19,Tea
4.91,0.11,3.11,13,101,14,10.83,0.79,0.6,2.86,1.29,0.15,Tea
4.96,0.12,3.41,13,98,13,10.15,0.63,0.54,3.3,1.47,0.17,Tea
5.12,0.19,3.2,10,88,15,10.84,0.71,0.63,2.22,1.24,0.18,Tea
5.3,0.13,2.99,10,101,17,12.59,0.78,0.57,3.03,1.54,0.13,Tea
4.91,0.17,3.73,11,104,17,10.19,0.75,0.66,2.7,1.49,0.12,Tea
5.26,0.1,3.84,8,90,14,12.57,0.63,0.51,2.55,1.26,0.15,Tea
4.89,0.1,2.53,13,95,13,14.04,0.79,0.61,2.22,1.72,0.12,Tea
4.95,0.19,2.94,12,90,15,10.81,0.78,0.53,2.88,1.46,0.12,Tea
4.68,0.13,2.65,10,104,16,10.79,0.6,0.53,2.76,1.35,0.19,Tea
4.51,0.17,3.28,10,102,17,10.14,0.64,0.53,2.97,1.08,0.12,Tea
5.32,0.14,2.66,8,100,13,10.99,0.69,0.51,2.51,1.49,0.18,Tea
4.83,0.16,3.88,8,97,13,10.39,0.73,0.53,2.47,1.18,0.12,Tea
4.75,0.13,2.12,9,97,16,11.25,0.78,0.51,2.01,1.49,0.15,Tea
4.57,0.15,2.78,9,85,13,12.87,0.63,0.61,2.5,1.65,0.12,Tea
5.27,0.13,2.34,8,88,16,12.04,0.71,0.55,3.46,1.17,0.14,Tea
4.95,0.17,3.64,12,100,13,12.08,0.65,0.7,2.92,1.79,0.19,Tea
5.05,0.15,2.85,13,103,13,12.68,0.72,0.67,2.84,1.1,0.1,Tea
4.68,0.15,3.33,8,88,17,14.7,0.7,0.59,2.84,1.05,0.15,Tea
4.81,0.2,2.86,13,91,15,12.51,0.63,0.57,2.63,1.71,0.12,Tea
4.85,0.14,3.49,11,102,13,11.28,0.77,0.68,3.5,1.31,0.16,Tea
5.01,0.14,3.52,12,103,17,14.94,0.72,0.61,2.38,1.48,0.11,Tea
4.75,0.2,2.48,13,93,17,13.59,0.78,0.67,2.51,1.16,0.18,Tea
5.17,0.16,2.56,12,94,17,14.99,0.65,0.53,3.19,1.59,0.11,Tea
